ITEM,VENDOR,BRAND,VENDOR_CODE,UNIT_TYPE,SUBUNIT,SUBUNIT_SIZE,UNIT_PRICE,LAST_UPDATE,ACCOUNT,FLAG
"CUKES, ENGLISH",STAN SETAS,,2905,CASE,,,$24.95 ,2025-09-11,KITCHEN,
ACORN SQUASH,STAN SETAS,,4626,EACH,,,$2.65 ,2025-09-05,KITCHEN,
"APPLES, FUJI 72'S",STAN SETAS,,170,CASE,,,$58.50 ,2025-09-17,KITCHEN,
"APPLES, GRANNY SMITH 72'S",STAN SETAS,,235,EACH,,,$0.80 ,2025-09-11,KITCHEN,
"APPLES, GRANNY SMITH 72'S",STAN SETAS,,235,EACH,,, $-   ,2025-09-12,KITCHEN,
"ASPARAGUS, 11-LBS., LARGE",STAN SETAS,,2410,CASE,,,$54.50 ,2025-09-11,KITCHEN,
"ASPARAGUS, 11-LBS., LARGE",STAN SETAS,,2410,CASE,,, $-   ,2025-09-11,KITCHEN,
"ASPARAGUS, 11-LBS., LARGE",STAN SETAS,,2410,CASE,,,$54.50 ,2025-09-12,KITCHEN,
"ASPARAGUS, 11-LBS., LARGE",STAN SETAS,,2410,CASE,,,$54.50 ,2025-09-17,KITCHEN,
BABY ARTISAN LETTUCE CLAMSHELL,STAN SETAS,,0,CASE,,,$42.50 ,2025-09-11,KITCHEN,
BABY ARTISAN LETTUCE CLAMSHELL,STAN SETAS,,0,CASE,,, $-   ,2025-09-11,KITCHEN,
"BABY DILL, DOMESTIC 1-LB.",STAN SETAS,,0,CASE,,,$9.75 ,2025-09-13,KITCHEN,
BABY RAINBOW CARROTS W/TOPS,STAN SETAS,,0,CASE,,,$29.75 ,2025-09-09,KITCHEN,
BABY RAINBOW CARROTS W/TOPS,STAN SETAS,,0,CASE,,,$29.80 ,2025-09-12,KITCHEN,
"BANANAS, 10-LB. CHIQUITA",STAN SETAS,,586,CASE,,,$9.75 ,2025-09-09,KITCHEN,
"BANANAS, 10-LB. CHIQUITA",STAN SETAS,,586,CASE,,,$9.75 ,2025-09-12,KITCHEN,
"BANANAS, 10-LB. CHIQUITA",STAN SETAS,,586,CASE,,,$9.75 ,2025-09-04,KITCHEN,
"BASIL, DOMESTIC 1-LB.",STAN SETAS,,5035,CASE,,,$8.75 ,2025-09-16,KITCHEN,
"BASIL, DOMESTIC 1-LB.",STAN SETAS,,5035,CASE,,,$8.75 ,2025-09-06,KITCHEN,
"BEANS, GREEN TRIMED 2/5#",STAN SETAS,,2490,CASE,,,$36.50 ,2025-09-09,KITCHEN,
"BEANS, GREEN TRIMED 2/5#",STAN SETAS,,2490,CASE,,,$36.50 ,2025-09-03,KITCHEN,
"BEANS, GREEN TRIMED 2/5#",STAN SETAS,,2490,CASE,,,$36.50 ,2025-09-04,KITCHEN,
"BLACKBERRIES, DRISCOL 6/12OZ.",STAN SETAS,,0,CASE,,,$38.50 ,2025-09-12,KITCHEN,
"BLACKBERRIES, DRISCOLL 12/20OZ",STAN SETAS,,0,CASE,,,$22.75 ,2025-09-10,KITCHEN,
"BLACKBERRIES, DRISCOLL, 12/6OZ",STAN SETAS,,640,CASE,,,$42.50 ,2025-09-16,KITCHEN,
"BLACKBERRIES, DRISCOLL, 12/6OZ",STAN SETAS,,640,CASE,,,$38.50 ,2025-09-06,KITCHEN,
"BLUEBERRIES, DRISCOLL 12/20OZ.",STAN SETAS,,0,CASE,,,$46.50 ,2025-09-14,KITCHEN,
"BLUEBERRIES, PERUVIAN 6/28OZ.",STAN SETAS,,0,CASE,,,$46.50 ,2025-09-09,KITCHEN,
"BLUEBERRIES, PERUVIAN JUMBO",STAN SETAS,,0,CASE,,,$46.50 ,2025-09-16,KITCHEN,
"BROCCOLI CROWNS, 20-LBS.",STAN SETAS,,2530,CASE,,,$36.50 ,2025-09-12,KITCHEN,
"BROCCOLI CROWNS, 20-LBS.",STAN SETAS,,2530,CASE,,,$42.50 ,2025-09-17,KITCHEN,
"BROCCOLI CROWNS, 20-LBS.",STAN SETAS,,2530,CASE,,,$36.50 ,2025-09-04,KITCHEN,
BRUSSEL SPROUTS,STAN SETAS,,5970,LB,,,$2.95 ,2025-09-12,KITCHEN,
BUTTERNUT SQUASH,STAN SETAS,,4625,EACH,,,$2.75 ,2025-09-12,KITCHEN,
BUTTERNUT SQUASH,STAN SETAS,,4625,EACH,,,$2.95 ,2025-09-16,KITCHEN,
"CANTALOUPES, 9'S",STAN SETAS,,1205,CASE,,,$36.50 ,2025-09-11,KITCHEN,
"CANTALOUPES, 9'S",STAN SETAS,,1205,EACH,,,$4.75 ,2025-09-05,KITCHEN,
"CARROTS, BABY PEELED W/ TOPS",STAN SETAS,,2695,CASE,,,$29.80 ,2025-09-11,KITCHEN,
"CARROTS, LOOSE 25#",STAN SETAS,,2670,LB,,,$1.25 ,2025-09-03,KITCHEN,
"CAULIFLOWER, CELLO, 12'S",STAN SETAS,,2740,EACH,,,$2.95 ,2025-09-11,KITCHEN,
"CAULIFLOWER, CELLO, 12'S",STAN SETAS,,2740,EACH,,,$2.95 ,2025-09-12,KITCHEN,
"CAULIFLOWER, CELLO, 12'S",STAN SETAS,,2740,EACH,,,$3.75 ,2025-09-16,KITCHEN,
"CAULIFLOWER, CELLO, 12'S",STAN SETAS,,2740,EACH,,,$3.75 ,2025-09-17,KITCHEN,
"CAULIFLOWER, CELLO, 12'S",STAN SETAS,,2740,EACH,,,$3.75 ,2025-09-03,KITCHEN,
"CHIVES, DOMESTIC 1-LB.",STAN SETAS,,5060,CASE,,,$12.75 ,2025-09-10,KITCHEN,
"CHIVES, DOMESTIC 1-LB.",STAN SETAS,,5060,CASE,,,$12.75 ,2025-09-03,KITCHEN,
CILANTRO 30CT.,STAN SETAS,,5080,EACH,,,$2.25 ,2025-09-11,KITCHEN,
CILANTRO 30CT.,STAN SETAS,,5080,EACH,,,$2.25 ,2025-09-12,KITCHEN,
CILANTRO 30CT.,STAN SETAS,,5080,EACH,,,$2.25 ,2025-09-17,KITCHEN,
CILANTRO 30CT.,STAN SETAS,,5080,EACH,,,$2.25 ,2025-09-06,KITCHEN,
"CILANTRO, CALIFORNIA 60CT.",STAN SETAS,,5081,EACH,,,$2.25 ,2025-09-10,KITCHEN,
"CORN, COB BICOLOR",STAN SETAS,,2850,EACH,,,$0.75 ,2025-09-06,KITCHEN,
"CUKES, ENGLISH",STAN SETAS,,2905,CASE,,,$24.95 ,2025-09-11,KITCHEN,
"CUKES, ENGLISH",STAN SETAS,,2905,CASE,,,$24.95 ,2025-09-16,KITCHEN,
"CUKES, ENGLISH",STAN SETAS,,2905,CASE,,,$24.95 ,2025-09-03,KITCHEN,
"CUKES, ENGLISH",STAN SETAS,,2905,CASE,,,$24.95 ,2025-09-04,KITCHEN,
"CUKES, ENGLISH",STAN SETAS,,2905,CASE,,,$24.95 ,2025-09-05,KITCHEN,
"GREEN ONIONS, ICELESS 4/2-LB.",STAN SETAS,,4330,EACH,,,$8.75 ,2025-09-09,KITCHEN,
"GREEN ONIONS, ICELESS 4/2-LB.",STAN SETAS,,4330,EACH,,,$8.75 ,2025-09-17,KITCHEN,
HEIRLOOM MEDLEY GRAPE TOMATOES,STAN SETAS,,4787,CASE,,,$36.50 ,2025-09-17,KITCHEN,
HEIRLOOM MEDLEY GRAPE TOMATOES,STAN SETAS,,4787,CASE,,,$38.50 ,2025-09-03,KITCHEN,
HEIRLOOM MEDLEY GRAPE TOMATOES,STAN SETAS,,4787,CASE,,,$38.50 ,2025-09-06,KITCHEN,
"HERICOT, VERT FRENCH BEANS, 10#",STAN SETAS,,0,CASE,,,$46.50 ,2025-09-11,KITCHEN,
"HONEYDEW MELONS, 6'S",STAN SETAS,,1280,CASE,,,$32.50 ,2025-09-11,KITCHEN,
"HONEYDEW MELONS, 6'S",STAN SETAS,,1280,EACH,,,$5.75 ,2025-09-05,KITCHEN,
"HYDRO BIBB LETTUCE, 12CT CLAMS",STAN SETAS,,5679,CASE,,,$36.50 ,2025-09-11,KITCHEN,
"HYDRO BIBB LETTUCE, 12CT CLAMS",STAN SETAS,,5679,CASE,,,$36.50 ,2025-09-16,KITCHEN,
"HYDRO BIBB LETTUCE, 12CT CLAMS",STAN SETAS,,5679,CASE,,,$36.50 ,2025-09-06,KITCHEN,
LEEKS,STAN SETAS,,3175,EACH,,,$4.75 ,2025-09-10,KITCHEN,
LEEKS,STAN SETAS,,3175,EACH,,,$4.75 ,2025-09-12,KITCHEN,
LEEKS,STAN SETAS,,3175,EACH,,,$4.75 ,2025-09-17,KITCHEN,
"LEMONS, SUNKIST 115'S",STAN SETAS,,1090,CASE,,,$48.50 ,2025-09-17,KITCHEN,
"LIMES, 48'S",STAN SETAS,,1115,CASE,,,$24.95 ,2025-09-11,KITCHEN,
"LIMES, 48'S",STAN SETAS,,1115,CASE,,,$26.95 ,2025-09-14,KITCHEN,
"LIMES, 48'S",STAN SETAS,,1115,CASE,,,$24.95 ,2025-09-17,KITCHEN,
"MANGOS, 10'S",STAN SETAS,,1155,EACH,,,$2.65 ,2025-09-11,KITCHEN,
"MANGOS, 10'S",STAN SETAS,,1155,EACH,,,$2.65 ,2025-09-05,KITCHEN,
"MUSHROOMS, CRIMINI",STAN SETAS,,3450,CASE,,,$24.95 ,2025-09-10,KITCHEN,
"MUSHROOMS, CRIMINI",STAN SETAS,,3450,CASE,,,$24.95 ,2025-09-11,KITCHEN,
"MUSHROOMS, CRIMINI",STAN SETAS,,3450,CASE,,,$26.95 ,2025-09-14,KITCHEN,
"MUSHROOMS, MEDIUM 10#",STAN SETAS,,3415,CASE,,,$29.80 ,2025-09-14,KITCHEN,
"MUSHROOMS, MEDIUM 10#",STAN SETAS,,3415,CASE,,,$29.80 ,2025-09-03,KITCHEN,
"MUSHROOMS, OYSTER",STAN SETAS,,3465,CASE,,,$36.50 ,2025-09-11,KITCHEN,
"MUSHROOMS, OYSTER",STAN SETAS,,3465,CASE,,,$36.50 ,2025-09-11,KITCHEN,
"MUSHROOMS, OYSTER",STAN SETAS,,3465,CASE,,,$36.50 ,2025-09-12,KITCHEN,
"MUSHROOMS, OYSTER",STAN SETAS,,3465,CASE,,,$36.50 ,2025-09-13,KITCHEN,
"MUSHROOMS, OYSTER",STAN SETAS,,3465,CASE,,,$36.50 ,2025-09-14,KITCHEN,
"MUSHROOMS, OYSTER",STAN SETAS,,3465,CASE,,,$36.50 ,2025-09-03,KITCHEN,
"MUSHROOMS, PORTABELLA LARGE",STAN SETAS,,3485,CASE,,,$26.95 ,2025-09-03,KITCHEN,
NAPPA CABBAGE,STAN SETAS,,4965,EACH,,,$4.75 ,2025-09-13,KITCHEN,
"ONIONS, COLOSSAL 50#",STAN SETAS,,3620,CASE,,,$32.50 ,2025-09-04,KITCHEN,
"ONIONS, RED JUMBO 25#",STAN SETAS,,3655,CASE,,,$36.95 ,2025-09-09,KITCHEN,
"ORANGES, SUNKIST 72'S",STAN SETAS,,1665,CASE,,,$42.50 ,2025-09-14,KITCHEN,
"OREGANO, DOMESTIC 1-LB.",STAN SETAS,,5135,CASE,,,$9.75 ,2025-09-03,KITCHEN,
ORGANIC BABY ARUGULA 8/6OZ.,STAN SETAS,,0,CASE,,,$32.50 ,2025-09-04,KITCHEN,
ORGANIC BABY ARUGULA 8/6OZ.,STAN SETAS,,0,CASE,,,$32.50 ,2025-09-06,KITCHEN,
ORGANIC SPRING MIX,STAN SETAS,,5616,CASE,,,$16.75 ,2025-09-10,KITCHEN,
ORGANIC SPRING MIX,STAN SETAS,,5616,CASE,,,$16.75 ,2025-09-11,KITCHEN,
ORGANIC SPRING MIX,STAN SETAS,,5616,CASE,,,$46.75 ,2025-09-16,KITCHEN,
ORGANIC SPRING MIX,STAN SETAS,,5616,CASE,,,$16.75 ,2025-09-17,KITCHEN,
ORGANIC SPRING MIX,STAN SETAS,,5616,CASE,,,$16.75 ,2025-09-03,KITCHEN,
ORGANIC SPRING MIX,STAN SETAS,,5616,CASE,,,$16.75 ,2025-09-04,KITCHEN,
ORGANIC SPRING MIX,STAN SETAS,,5616,CASE,,,$16.75 ,2025-09-05,KITCHEN,
"PARSLEY, ITALIAN",STAN SETAS,,3745,EACH,,,$2.25 ,2025-09-11,KITCHEN,
"PARSLEY, ITALIAN",STAN SETAS,,3745,EACH,,,$2.25 ,2025-09-13,KITCHEN,
"PARSLEY, ITALIAN",STAN SETAS,,3745,EACH,,,$2.25 ,2025-09-16,KITCHEN,
"PARSLEY, ITALIAN",STAN SETAS,,3745,EACH,,,$2.25 ,2025-09-05,KITCHEN,
"PARSLEY, ITALIAN",STAN SETAS,,3745,EACH,,,$2.25 ,2025-09-06,KITCHEN,
"PEARS, D' ANJOU 70'S",STAN SETAS,,1965,EACH,,,$0.80 ,2025-09-03,KITCHEN,
"PEAS, SUGAR SNAP",STAN SETAS,,3805,CASE,,,$46.50 ,2025-09-13,KITCHEN,
"PEAS, SUGAR SNAP",STAN SETAS,,3805,CASE,,,$46.50 ,2025-09-05,KITCHEN,
"PEPPERS, HOLLAND RED",STAN SETAS,,3870,CASE,,,$32.50 ,2025-09-11,KITCHEN,
"PEPPERS, HOLLAND RED",STAN SETAS,,3870,CASE,,,$36.50 ,2025-09-03,KITCHEN,
"PEPPERS, HOLLAND YELLOW",STAN SETAS,,3875,CASE,,,$36.50 ,2025-09-09,KITCHEN,
"PEPPERS, JALAPENO 20-LB.",STAN SETAS,,3890,LB,,,$2.95 ,2025-09-10,KITCHEN,
"PEPPERS, JALAPENO 20-LB.",STAN SETAS,,3890,LB,,,$2.65 ,2025-09-17,KITCHEN,
"PINEAPPLE, GOLDEN RIPE 6'S",STAN SETAS,,2231,CASE,,,$32.50 ,2025-09-10,KITCHEN,
"PINEAPPLE, GOLDEN RIPE 6'S",STAN SETAS,,2231,CASE,,,$32.50 ,2025-09-11,KITCHEN,
"PINEAPPLE, GOLDEN RIPE 6'S",STAN SETAS,,2231,CASE,,,$32.50 ,2025-09-16,KITCHEN,
"PINEAPPLE, GOLDEN RIPE 6'S",STAN SETAS,,2231,CASE,,,$32.50 ,2025-09-05,KITCHEN,
"POTATOES, FINGERLING 10#",STAN SETAS,,4080,LB,,,$2.75 ,2025-09-09,KITCHEN,
"POTATOES, FINGERLING 10#",STAN SETAS,,4080,LB,,,$2.75 ,2025-09-11,KITCHEN,
"POTATOES, FINGERLING 10#",STAN SETAS,,4080,LB,,,$2.75 ,2025-09-16,KITCHEN,
"POTATOES, IDAHO 90#",STAN SETAS,,4125,CASE,,,$32.50 ,2025-09-11,KITCHEN,
"POTATOES, IDAHO 90#",STAN SETAS,,4125,CASE,,,$32.50 ,2025-09-16,KITCHEN,
"POTATOES, IDAHO 90#",STAN SETAS,,4125,CASE,,,$32.50 ,2025-09-03,KITCHEN,
"POTATOES, IDAHO 90#",STAN SETAS,,4125,CASE,,,$32.50 ,2025-09-04,KITCHEN,
"POTATOES, RED B CHOICE",STAN SETAS,,4025,LB,,,$1.25 ,2025-09-05,KITCHEN,
"POTATOES, YUKON GOLD A",STAN SETAS,,4200,CASE,,,$48.50 ,2025-09-17,KITCHEN,
"RASPBERRIES, DRISCOLL, 12/6OZ.",STAN SETAS,,655,CASE,,,$42.50 ,2025-09-12,KITCHEN,
"RASPBERRIES, DRISCOLL, 12/6OZ.",STAN SETAS,,655,CASE,,,$42.50 ,2025-09-14,KITCHEN,
"RASPBERRIES, DRISCOLL, 12/6OZ.",STAN SETAS,,655,CASE,,,$42.50 ,2025-09-06,KITCHEN,
